acronym,total_counts
"ב""ועידת",8.0
"נאסד""ק",11.0
"דו""ח",749.0
"ל""חברה",7.0
"בנאסד""ק",25.0
"נ""י",7.0
"מטכ""לית",11.0
"ה""שביט",8.0
"בנאס""א",36.0
"מז""פ",10.0
"רגמ""ה",7.0
"במ""ח",13.0
"שנאס""א",9.0
"מאש""ף",6.0
"דוא""ל",30.0
"לסה""נ",21.0
"התנ""כי",100.0
"ה""טיטניק",10.0
"בתנ""ך",1174.0
"יש""ע",126.0
"תמ""א",29.0
"לראי""ה",7.0
"האס""ד",6.0
"המטכ""לית",8.0
"המו""לים",21.0
"המו""ל",104.0
"הגא""פ",32.0
"המק""ס",12.0
"והדו""ח",8.0
"תרמ""ב",46.0
"הביל""ויים",34.0
"תרמ""ג",36.0
"מפח""ש",12.0
"המנכ""לים",14.0
"בחל""ת",6.0
"מאל""ו",15.0
"מ""ג",181.0
"האו""מ",6.0
"מכ""ם",361.0
"לבג""ץ",296.0
"שהדו""ח",8.0
"בכ""ב",21.0
"ה""אמוני",6.0
"ה""ארצי",8.0
"ל""מועצת",12.0
"ת""ר",20.0
"ר""ד",12.0
"ב""דר",6.0
"כ""מעשה",6.0
"ב""משמר",9.0
"ג""ט",6.0
"רמ""ח",27.0
"ה""אביב",15.0
"רשב""ם",70.0
"ח""ן",39.0
"תש""ח",240.0
"איו""ש",86.0
"צא""ח",11.0
"ש""לא",37.0
"ל""ד",45.0
"ד""א",14.0
"מח""ש",12.0
"ריה""ל",59.0
"קנ""א",45.0
"וארה""ב",12.0
"ה""צולפריין",6.0
"רד""ק",47.0
"רלב""ג",41.0
"ה""אזוריים",8.0
"רשב""י",81.0
"רס""ג",235.0
"הר""ן",43.0
"גא""פ",24.0
"ומזכ""ל",22.0
"ימ""מ",60.0
"ומג""ב",20.0
"אונר""א",154.0
"הנגמ""שים",29.0
"בס""ד",10.0
"בע""ה",6.0
"צמ""ה",105.0
"ואמל""ח",13.0
"ימ""ס",11.0
"והשב""כ",33.0
"והאו""ם",22.0
"לפת""ח",34.0
"ה""סכין",8.0
"הצמ""ה",80.0
"סד""כ",16.0
"אלו""ט",6.0
"ל""מדינה",15.0
"ל""טיהור",6.0
"ל""מסע",8.0
"מתפ""ש",6.0
"באיו""ש",43.0
"במו""מ",11.0
"סמ""ק",168.0
"מצה""ל",206.0
"אמל""ח",113.0
"לנגמ""שים",6.0
"פומ""ה",19.0
"משת""פים",13.0
"לנגמ""ש",19.0
"וחרל""פ",10.0
"בנמ""ר",10.0
"באמל""ח",9.0
"ה""יונבומבר",8.0
"פר""ג",6.0
"אי""ל",49.0
"מנת""ק",6.0
"ביסלמ""ח",9.0
"רח""ל",30.0
"נמר""ה",7.0
"ונמ""ר",7.0
"תרכ""ה",17.0
"תרצ""ה",87.0
"ש""ץ",23.0
"ה""צמח",15.0
"האדר""ת",23.0
"תרמ""ו",29.0
"תרמ""ח",23.0
"תרנ""א",24.0
"תרנ""ה",17.0
"בכ""ח",24.0
"תרס""ט",40.0
"תרע""ד",49.0
"בכ""ד",18.0
"ס""ג",6.0
"רמח""ל",37.0
"א""ד",59.0
"בל""ג",61.0
"חמ""ל",15.0
"תרפ""ז",51.0
"תרע""ב",44.0
"אביב""י",12.0
"רוב""צ",6.0
"החמ""ד",14.0
"תרע""ה",26.0
"תרע""ח",48.0
"תרצ""ד",65.0
"לרשב""ם",6.0
"ת""ש",79.0
"ל""רחוב",7.0
"בבה""ד",67.0
"בש""ס",32.0
"הגרי""ז",9.0
"הרשב""י",34.0
"ובתנ""ך",10.0
"לחפ""ק",8.0
"הנ""ל",572.0
"ב""שטחים",9.0
"ושב""כ",10.0
"ל""ז",24.0
"שז""ר",28.0
"הד""ר",56.0
"מלה""ע",7.0
"על""ה",9.0
"מע""צ",18.0
"ו""זמר",7.0
"ב""פסטיבל",15.0
"השב""חים",11.0
"ו""איך",9.0
"ו""בית",41.0
"אמ""י",36.0
"המג""דים",6.0
"א""ס",8.0
"אמ""ן",275.0
"פ""ט",7.0
"המא""ה",6.0
"במו""פ",6.0
"הרמ""ק",25.0
"ה""אור",6.0
"קל""ח",9.0
"תא""ל",185.0
"ח""ו",6.0
"רא""ש",9.0
"מהקב""ה",7.0
"ל""ספר",11.0
"תשב""ץ",7.0
"ה""היסטוריה",10.0
"תקמ""ב",9.0
"תקס""ח",6.0
"תקע""ו",6.0
"האריז""ל",7.0
"ב""כתבים",7.0
"תקצ""ז",19.0
"קמ""ר",1160.0
"והתמ""ג",13.0
"כ""בית",31.0
"ובצה""ל",21.0
"הג""א",25.0
"לקמ""ר",126.0
"המהו""ת",7.0
"הטק""ק",6.0
"ה""אנשלוס",8.0
"ב""הסכם",9.0
"לדאע""ש",20.0
"הי""ח",13.0
"צה""לית",21.0
"הדוא""ל",20.0
"ממפא""י",24.0
"שב""ק",7.0
"ל""ג",149.0
"מתנ""ס",74.0
"המ""צ",14.0
"חמ""ץ",6.0
"בכ""ו",16.0
"ב""בייבלייד",9.0
"ל""עידן",8.0
"ב""גל",8.0
"ל""גדוד",6.0
"הפלי""ם",44.0
"ו""אח",8.0
"חי""ם",7.0
"למטכ""ל",19.0
"ע""ט",11.0
"כ""אחת",8.0
"כ""שפה",6.0
"האו""ם",2105.0
"בעי""ן",7.0
"תשס""א",189.0
"ה""אנלים",6.0
"ל""ב",31.0
"לד""ר",61.0
"א""ז",9.0
"אונסק""ו",317.0
"א""א",33.0
"תרצ""ג",42.0
"ע""ג",8.0
"מ""ק",98.0
"סל""ד",34.0
"הס""פ",8.0
"לאמ""ן",8.0
"קע""מ",12.0
"ל""הסכם",14.0
"ב""אי",15.0
"ממג""ב",7.0
"ז""ק",11.0
"תנ""כיות",17.0
"וזחל""ם",6.0
"הרק""ם",14.0
"בנגמ""שים",8.0
"רפא""ל",38.0
"הזחל""מים",16.0
"י""ג",240.0
"זחל""ם",8.0
"ה""קולטורה",6.0
"י""ז",157.0
"ודו""ח",14.0
"הגרי""ש",13.0
"הגראי""ל",7.0
"י""א",254.0
"ב""ועדת",11.0
"ה""הגנה",81.0
"ות""ט",13.0
"ד""ה",12.0
"החל""ת",6.0
"ל""הגנה",36.0
"סבא""א",247.0
"בסבא""א",9.0
"לסבא""א",23.0
"בש""י",8.0
"ב""הארץ",77.0
"ל""הארץ",19.0
"חד""ש",139.0
"רח""ד",8.0
"ד""ר",2711.0
"רנ""ב",11.0
"שפ""ו",8.0
"תרנ""ו",33.0
"לש""י",10.0
"פצמ""רים",13.0
"ופצמ""רים",11.0
"ב""קרב",11.0
"כ""טבח",6.0
"וצה""ל",130.0
"התשס""ב",12.0
"דש""א",8.0
"התשע""ד",9.0
"המו""פ",13.0
"קל""ז",15.0
"הש""ץ",68.0
"המלמ""ב",31.0
"ב""לוח",10.0
"יק""א",83.0
"הלק""ם",19.0
"פיק""א",79.0
"של""ח",27.0
"התק""ם",35.0
"רפ""י",146.0
"ייט""ב",8.0
"יח""ד",15.0
"ומתנ""סים",8.0
"ל""קומדיה",7.0
"תב""ע",11.0
"משת""פ",15.0
"ר""ג",16.0
"ב""אתר",11.0
"הל""א",7.0
"שת""פ",10.0
"כסמנכ""ל",10.0
"המט""ח",42.0
"למ""ק",7.0
"רמ""ד",7.0
"ה""אמיתי",6.0
"ו""אקליפטוס",6.0
"מל""מ",37.0
"ובג""ץ",11.0
"ב""משפט",15.0
"ק""מ",3196.0
"מ""מ",1706.0
"כשד""ר",6.0
"שד""ר",17.0
"ב""אנקת",7.0
"כי""ח",54.0
"קצא""א",25.0
"ה""תוכנית",6.0
"לנדל""ן",8.0
"תמ""ג",50.0
"באפט""א",92.0
"המב""מ",37.0
"ה""ליבר",10.0
"לתק""ם",12.0
"רה""מ",22.0
"ב""מרכז",10.0
"ופיק""א",6.0
"ל""קיבוץ",8.0
"ב""מוסד",10.0
"למ""כים",10.0
"ו""ג",23.0
"גל""ץ",11.0
"הרשב""ם",22.0
"ב""מוסף",6.0
"ל""עיר",14.0
"ב""תיאטרון",15.0
"למ""ד",10.0
"החי""ש",22.0
"כ""ג",137.0
"ס""ו",9.0
"ע""ב",45.0
"תקע""א",7.0
"כאב""ד",6.0
"וח""כ",14.0
"מנכ""לית",48.0
"מש""ס",9.0
