,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts
193,"בינ""ל",17.0,5.0,0.0,0.0,22.0
194,"המלש""ב",8.0,0.0,0.0,0.0,8.0
195,"מלש""ב",7.0,1.0,0.0,0.0,8.0
196,"הגדס""ר",16.0,0.0,0.0,0.0,16.0
197,"פלחי""ק",7.0,0.0,0.0,0.0,7.0
198,"תר""א",8.0,0.0,0.0,0.0,8.0
199,"הרמח""ל",138.0,0.0,0.0,0.0,138.0
200,"לרמח""ל",12.0,0.0,0.0,0.0,12.0
201,"ונדל""ן",5.0,0.0,1.0,0.0,6.0
202,"ב""ה",8.0,0.0,0.0,0.0,8.0
203,"גאט""ט",7.0,0.0,0.0,0.0,7.0
204,"אס""ד",6.0,0.0,0.0,0.0,6.0
205,"כנ""ל",60.0,0.0,0.0,0.0,60.0
206,"ומל""טים",2.0,7.0,0.0,0.0,9.0
207,"לנאט""ו",46.0,21.0,0.0,0.0,67.0
208,"התשע""א",6.0,0.0,0.0,0.0,6.0
209,"ש""הם",7.0,1.0,0.0,0.0,8.0
210,"מהאו""ם",13.0,4.0,1.0,0.0,18.0
211,"ב""רצח",8.0,0.0,0.0,0.0,8.0
212,"נ""ד",8.0,0.0,0.0,0.0,8.0
213,"מל""ט",12.0,12.0,0.0,0.0,24.0
214,"ה""ציר",6.0,0.0,0.0,0.0,6.0
215,"הרמ""ה",7.0,0.0,0.0,0.0,7.0
216,"תרס""ב",33.0,0.0,0.0,0.0,33.0
217,"תשמ""ט",151.0,0.0,0.0,0.0,151.0
218,"א""ש",6.0,0.0,0.0,0.0,6.0
219,"השו""ת",120.0,0.0,0.0,0.0,120.0
220,"בדנ""א",9.0,0.0,0.0,0.0,9.0
221,"ו""תל",9.0,0.0,0.0,0.0,9.0
222,"בשו""ת",31.0,0.0,0.0,0.0,31.0
223,"הראב""ד",69.0,0.0,0.0,0.0,69.0
224,"גאב""ד",6.0,0.0,0.0,0.0,6.0
225,"חז""ל",1581.0,0.0,0.0,0.0,1581.0
226,"תש""ג",89.0,0.0,0.0,0.0,89.0
227,"סוק""ק",6.0,0.0,0.0,0.0,6.0
228,"ל""ציר",1.0,6.0,0.0,0.0,7.0
229,"ו""את",11.0,0.0,0.0,0.0,11.0
230,"ו""יש",10.0,0.0,0.0,0.0,10.0
231,"רח""ק",20.0,0.0,0.0,0.0,20.0
232,"תש""ם",93.0,0.0,0.0,0.0,93.0
233,"נמ""ג",6.0,0.0,0.0,0.0,6.0
234,"חמ""ד",11.0,0.0,0.0,0.0,11.0
235,"כ""תנועה",6.0,0.0,0.0,0.0,6.0
236,"ל""מצב",6.0,0.0,0.0,0.0,6.0
237,"תרפ""ח",69.0,0.0,0.0,0.0,69.0
238,"מ""ד",23.0,0.0,0.0,0.0,23.0
239,"תש""ב",94.0,0.0,0.0,0.0,94.0
240,"ע""ש",1285.0,14.0,0.0,0.0,1299.0
241,"תרס""ח",27.0,0.0,0.0,0.0,27.0
242,"תשנ""ג",160.0,0.0,0.0,0.0,160.0
243,"בקב""ה",9.0,0.0,0.0,0.0,9.0
244,"לת""א",11.0,1.0,0.0,0.0,12.0
245,"הבד""צ",9.0,0.0,0.0,0.0,9.0
246,"י""ל",216.0,0.0,0.0,0.0,216.0
247,"אב""י",93.0,0.0,0.0,0.0,93.0
248,"ב""עיתון",7.0,0.0,0.0,0.0,7.0
249,"בק""ג",11.0,0.0,0.0,0.0,11.0
250,"שהשב""כ",9.0,2.0,1.0,0.0,12.0
251,"הקמ""ג",11.0,0.0,0.0,0.0,11.0
252,"ב""קונטרס",6.0,0.0,0.0,0.0,6.0
253,"ל""עסק",7.0,0.0,0.0,0.0,7.0
254,"תשס""ז",211.0,0.0,0.0,0.0,211.0
255,"שהאו""ם",7.0,4.0,0.0,0.0,11.0
256,"נגמ""שים",77.0,1.0,0.0,0.0,78.0
257,"ו""השומר",7.0,0.0,0.0,0.0,7.0
258,"תמ""ל",7.0,0.0,0.0,0.0,7.0
259,"ב""ארץ",18.0,0.0,0.0,0.0,18.0
260,"ע""ה",16.0,0.0,0.0,0.0,16.0
261,"בסה""כ",132.0,2.0,0.0,0.0,134.0
262,"אית""ן",19.0,0.0,0.0,0.0,19.0
263,"כ""י",6.0,0.0,0.0,0.0,6.0
264,"נ""ו",15.0,0.0,0.0,0.0,15.0
265,"ב""ספר",41.0,3.0,0.0,0.0,44.0
266,"ו""זיכרון",6.0,0.0,0.0,0.0,6.0
267,"קי""ח",8.0,0.0,0.0,0.0,8.0
268,"ק""ו",7.0,0.0,0.0,0.0,7.0
269,"ל""אם",7.0,0.0,0.0,0.0,7.0
270,"הק""מ",11.0,1.0,0.0,0.0,12.0
271,"הגר""ח",9.0,0.0,0.0,0.0,9.0
272,"תש""ף",68.0,0.0,0.0,0.0,68.0
273,"תשפ""ד",24.0,0.0,0.0,0.0,24.0
274,"יו""דים",12.0,0.0,0.0,0.0,12.0
275,"ל""שר",8.0,0.0,0.0,0.0,8.0
276,"שמ""ר",8.0,0.0,0.0,0.0,8.0
277,"בי""ח",27.0,0.0,0.0,0.0,27.0
278,"כ""ראשון",7.0,0.0,0.0,0.0,7.0
279,"התשס""ח",24.0,1.0,0.0,0.0,25.0
280,"קי""ט",7.0,0.0,0.0,0.0,7.0
281,"ה""אמת",6.0,1.0,0.0,0.0,7.0
282,"מ""ח",28.0,1.0,0.0,0.0,29.0
283,"במע""מ",6.0,0.0,0.0,0.0,6.0
