base_acronym,acronym,wiki_counts,inss_counts,fauda_counts,teheran_counts,total_counts,n_united
"אק""מ","['אק""מ']",5.0,0.0,0.0,0.0,5.0,1
"אקו""ם","['אקו""ם']",142.0,0.0,0.0,0.0,142.0,1
"אר""י","['האר""י', 'והאר""י', 'לאר""י']",284.0,0.0,0.0,0.0,284.0,3
"אר""ש","['אר""ש']",0.0,4.0,0.0,0.0,4.0,1
"ארה""ב","['וארה""ב', 'בארה""ב', 'שארה""ב', 'מארה""ב', 'לארה""ב', 'ארה""ב']",82.0,230.0,0.0,0.0,312.0,6
"אריז""ל","['האריז""ל']",7.0,0.0,0.0,0.0,7.0,1
"ארמק""ו","['ארמק""ו']",0.0,7.0,0.0,0.0,7.0,1
"אש""ף","['אש""ף', 'לאש""ף', 'ואש""ף', 'ולאש""ף', 'מאש""ף', 'באש""ף']",737.0,81.0,0.0,0.0,818.0,6
"אש""פ","['אש""פ', 'באש""פ', 'לאש""פ', 'ואש""פ']",2.0,65.0,0.0,0.0,67.0,4
"את""א","['את""א']",4.0,0.0,0.0,0.0,4.0,1
"אתב""ש","['אתב""ש']",7.0,0.0,0.0,0.0,7.0,1
"אתג""ר","['אתג""ר']",4.0,0.0,0.0,0.0,4.0,1
"ב""ב","['ב""ב']",7.0,0.0,0.0,0.0,7.0,1
"ב""ג","['וב""ג', 'ב""ג']",17.0,0.0,0.0,0.0,17.0,2
"ב""ה","['ב""ה']",8.0,0.0,0.0,0.0,8.0,1
"ב""ז","['ב""ז']",32.0,0.0,0.0,0.0,32.0,1
"ב""ח","['הב""ח', 'ב""ח']",20.0,0.0,0.0,0.0,20.0,2
"ב""מ","['כב""מ']",0.0,5.0,0.0,0.0,5.0,1
"ב""ע","['מב""ע']",8.0,0.0,0.0,0.0,8.0,1
"ב""צ","['ב""צ']",4.0,0.0,0.0,0.0,4.0,1
"ב""ק","['ב""ק']",20.0,0.0,0.0,0.0,20.0,1
"ב""ר","['ב""ר']",39.0,0.0,0.0,0.0,39.0,1
"ב""ש","['ב""ש']",15.0,0.0,0.0,0.0,15.0,1
"בא""ח","['בבא""ח', 'הבא""ח']",17.0,0.0,0.0,0.0,17.0,2
"באב""ד","['באב""ד']",10.0,0.0,0.0,0.0,10.0,1
"באפט""א","['באפט""א']",92.0,0.0,0.0,0.0,92.0,1
